Zone,GPU available,GPU allocated to VM
us-east1-b,no,no
us-east1-c,yes,no
us-east1-d,yes,no
us-east4-c,yes,no
us-east4-b,yes,no
us-east4-a,yes,no
us-central1-c,yes,no
us-central1-a,yes,no
us-central1-f,yes,yes
us-central1-b,yes,no
us-west1-b,yes,no
us-west1-c,no,no
us-west1-a,yes,no
europe-west4-a,yes,no
europe-west4-b,yes,no
europe-west4-c,yes,no
europe-west1-b,yes,no
europe-west1-d,yes,yes
europe-west1-c,yes,yes
europe-west3-c,no,no
europe-west3-a,no,no
europe-west3-b,yes,no
europe-west2-c,no,no
europe-west2-b,yes,no
europe-west2-a,yes,no
asia-east1-b,no,no
asia-east1-a,yes,no
asia-east1-c,yes,yes
asia-southeast1-b,yes,no
asia-southeast1-a,yes,no
asia-southeast1-c,yes,no
asia-northeast1-b,no,no
asia-northeast1-c,yes,no
asia-northeast1-a,yes,no
asia-south1-c,yes,no
asia-south1-b,yes,no
asia-south1-a,yes,no
australia-southeast1-b,no,no
australia-southeast1-c,yes,no
australia-southeast1-a,yes,no
southamerica-east1-b,no,no
southamerica-east1-c,yes,yes
southamerica-east1-a,yes,no
africa-south1-a,yes,no
africa-south1-b,yes,no
africa-south1-c,yes,no
asia-east2-a,yes,no
asia-east2-b,no,no
asia-east2-c,yes,yes
asia-northeast2-a,no,no
asia-northeast2-b,no,no
asia-northeast2-c,no,no
asia-northeast3-a,no,no
asia-northeast3-b,yes,yes
asia-northeast3-c,yes,yes
asia-south2-a,no,no
asia-south2-b,no,no
asia-south2-c,no,no
asia-southeast2-a,yes,no
asia-southeast2-b,yes,no
asia-southeast2-c,no,no
australia-southeast2-a,no,no
australia-southeast2-b,no,no
australia-southeast2-c,no,no
europe-central2-a,no,no
europe-central2-b,yes,yes
europe-central2-c,yes,yes
europe-north1-a,no,no
europe-north1-b,no,no
europe-north1-c,no,no
europe-southwest1-a,yes,no
europe-southwest1-b,yes,no
europe-southwest1-c,yes,no
europe-west10-a,yes,no
europe-west10-b,yes,no
europe-west10-c,yes,no
europe-west12-a,yes,no
europe-west12-b,yes,no
europe-west12-c,yes,no
europe-west6-a,no,no
europe-west6-b,no,no
europe-west6-c,no,no
europe-west8-a,yes,no
europe-west8-b,yes,no
europe-west8-c,yes,no
europe-west9-a,yes,no
europe-west9-b,yes,no
europe-west9-c,yes,no
me-central1-a,yes,no
me-central1-b,yes,no
me-central1-c,yes,no
me-central2-a,yes,no
me-central2-b,yes,no
me-central2-c,yes,no
me-west1-a,yes,no
me-west1-b,yes,no
me-west1-c,yes,no
northamerica-northeast1-a,no,no
northamerica-northeast1-b,no,no
northamerica-northeast1-c,yes,no
northamerica-northeast2-a,no,no
northamerica-northeast2-b,no,no
northamerica-northeast2-c,no,no
southamerica-west1-a,yes,no
southamerica-west1-b,yes,no
southamerica-west1-c,yes,no
us-east5-a,yes,no
us-east5-b,yes,no
us-east5-c,yes,no
us-south1-a,yes,no
us-south1-b,yes,no
us-south1-c,yes,no
us-west2-a,no,no
us-west2-b,yes,no
us-west2-c,yes,no
us-west3-a,no,no
us-west3-b,yes,no
us-west3-c,no,no
us-west4-a,yes,yes
us-west4-b,yes,yes
us-west4-c,no,no
